Name,Password,Mode,LRL,URL,AA,APW,AS,ARP,PVARP,VA,VPW,VS,VRP,Hyst,RS,AVD,MSR,AT,React,RF,Recover,ID
Julia Lisboa,Test1,,5.0,100.0,4,3, , , ,4,90, , , , ,,,,,,,1
Charlotte Neumann,Test2,AOO,50.0,50.0,70,70, , , , , , , , , ,,,,,,,2
Laurie Baker,Test3,AAI,70.0,70.0,50,50,50,50,50, , , , ,2,2,,,,,,,3
Halle Bachiu,Test4,VVI,80.0,80.0, , , , , ,50,50,60,60,3,3,,,,,,,4
ok,ok,DOO,100.0,100.0,4,155,0,0,0,4,16,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,6
i,i,AOOR,80.0,80.0,4,25,0,0,0,0,0,0,0,0,0,0.0,60.0,80.0,20.0,15.0,15.0,6
you,you,AAIR,,,,,,,,0,0,0,0,,,0.0,,,20.0,,,7
Jill,jill,VOOR,80.0,80.0,0,0,0,0,0,4,15,0,0,0,0,0.0,60.0,66.0,20.0,12.0,12.0,8
oo,ok,DOO,80.0,80.0,4,20,0,0,0,4,20,0,0,0,0,80.0,0.0,0.0,0.0,0.0,0.0,9
ii,ii,DOOR,80.0,80.0,4,20,0,0,0,4,20,0,0,0,0,80.0,80.0,88.0,40.0,15.0,15.0,10
